ID,Name,Description,Status,Archived,Location Name,Parent Asset,Area,Barcode,Category,Primary User,Warranty Expiration Date,Additional Information,Serial Number,Assigned To,Teams,Parts,Vendors,Contractors,Acquisition cost
UPS-3C-1,UPS-3C-1,Test description.,Operational,No,ELECTRICAL ROOM 1C,,,,UPS,amcgee@enovumdc.com,3/28/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor27,Contractor27,10000
UPS-1H-1,UPS-1H-1,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,UPS,amcgee@enovumdc.com,3/29/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor28,Contractor28,10000
UPS-1H-2,UPS-1H-2,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,UPS,amcgee@enovumdc.com,3/30/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor29,Contractor29,10000
UPS-1H-3,UPS-1H-3,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,UPS,amcgee@enovumdc.com,3/31/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor30,Contractor30,10000
UPS-1G-1,UPS-1G-1,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,UPS,amcgee@enovumdc.com,4/1/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor31,Contractor31,10000
UPS-1G-2,UPS-1G-2,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,UPS,amcgee@enovumdc.com,4/2/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor32,Contractor32,10000
UPS-1G-3,UPS-1G-3,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,UPS,amcgee@enovumdc.com,4/3/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor33,Contractor33,10000
UPS-3D-1,UPS-3D-1,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,UPS,amcgee@enovumdc.com,4/4/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor34,Contractor34,10000
PDU-1F-3-2,PDU-1F-3-2,Test description.,Operational,No,ELECTRICAL ROOM 1C,,,,PDU,amcgee@enovumdc.com,4/5/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor35,Contractor35,10000
PDU-1F-3-1,PDU-1F-3-1,Test description.,Operational,No,ELECTRICAL ROOM 1C,,,,PDU,amcgee@enovumdc.com,4/6/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor36,Contractor36,10000
PDU-1F-2-2,PDU-1F-2-2,Test description.,Operational,No,ELECTRICAL ROOM 1C,,,,PDU,amcgee@enovumdc.com,4/7/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor37,Contractor37,10000
PDU-1F-1-1,PDU-1F-1-1,Test description.,Operational,No,ELECTRICAL ROOM 1C,,,,PDU,amcgee@enovumdc.com,4/8/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor38,Contractor38,10000
PDU-1E-2-2,PDU-1E-2-2,Test description.,Operational,No,ELECTRICAL ROOM 1C,,,,PDU,amcgee@enovumdc.com,4/9/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor39,Contractor39,10000
PDU-1E-2-1,PDU-1E-2-1,Test description.,Operational,No,ELECTRICAL ROOM 1C,,,,PDU,amcgee@enovumdc.com,4/10/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor40,Contractor40,10000
PDU-1E-1-2,PDU-1E-1-2,Test description.,Operational,No,ELECTRICAL ROOM 1C,,,,PDU,amcgee@enovumdc.com,4/11/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor41,Contractor41,10000
PDU-1E-1-1,PDU-1E-1-1,Test description.,Operational,No,ELECTRICAL ROOM 1C,,,,PDU,amcgee@enovumdc.com,4/12/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor42,Contractor42,10000
PDU-1H-3-2,PDU-1H-3-2,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,PDU,amcgee@enovumdc.com,4/13/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor43,Contractor43,10000
PDU-1H-3-1,PDU-1H-3-1,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,PDU,amcgee@enovumdc.com,4/14/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor44,Contractor44,10000
PDU-1H-2-2,PDU-1H-2-2,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,PDU,amcgee@enovumdc.com,4/15/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor45,Contractor45,10000
PDU-1H-1-2,PDU-1H-1-2,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,PDU,amcgee@enovumdc.com,4/16/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor46,Contractor46,10000
PDU-1H-1-1,PDU-1H-1-1,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,PDU,amcgee@enovumdc.com,4/17/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor47,Contractor47,10000
PDU-1G-3-2,PDU-1G-3-2,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,PDU,amcgee@enovumdc.com,4/18/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor48,Contractor48,10000
PDU-1G-3-1,PDU-1G-3-1,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,PDU,amcgee@enovumdc.com,4/19/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor49,Contractor49,10000
PDU-1G-2-2,PDU-1G-2-2,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,PDU,amcgee@enovumdc.com,4/20/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor50,Contractor50,10000
PDU-1G-2-1,PDU-1G-2-1,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,PDU,amcgee@enovumdc.com,4/21/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor51,Contractor51,10000
PDU-1G-1-2,PDU-1G-1-2,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,PDU,amcgee@enovumdc.com,4/22/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor52,Contractor52,10000
PDU-1G-1-1,PDU-1G-1-1,Test description.,Operational,No,ELECTRICAL ROOM 1D,,,,PDU,amcgee@enovumdc.com,4/23/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor53,Contractor53,10000
PCWP 1,PCWP 1,Test description.,Operational,No,PUMP ROOM 2,,,,PCWP,amcgee@enovumdc.com,4/24/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor54,Contractor54,10000
PCWP 2,PCWP 2,Test description.,Operational,No,PUMP ROOM 2,,,,PCWP,amcgee@enovumdc.com,4/25/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor55,Contractor55,10000
PCWP 3,PCWP 3,Test description.,Operational,No,PUMP ROOM 2,,,,PCWP,amcgee@enovumdc.com,4/26/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor56,Contractor56,10000
PCWP 4,PCWP 4,Test description.,Operational,No,PUMP ROOM 2,,,,PCWP,amcgee@enovumdc.com,4/27/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor57,Contractor57,10000
PCWP 5,PCWP 5,Test description.,Operational,No,PUMP ROOM 2,,,,PCWP,amcgee@enovumdc.com,4/28/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor58,Contractor58,10000
PCWP 6,PCWP 6,Test description.,Operational,No,PUMP ROOM 2,,,,PCWP,amcgee@enovumdc.com,4/29/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor59,Contractor59,10000
PCWP 7,PCWP 7,Test description.,Operational,No,PUMP ROOM 2,,,,PCWP,amcgee@enovumdc.com,4/30/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor60,Contractor60,10000
PCWP 8,PCWP 8,Test description.,Operational,No,PUMP ROOM 2,,,,PCWP,amcgee@enovumdc.com,5/1/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor61,Contractor61,10000
CHWP 1,CHWP 1,Test description.,Operational,No,PUMP ROOM 1,,,,CHWP,amcgee@enovumdc.com,5/2/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor62,Contractor62,10000
CHWP 2,CHWP 2,Test description.,Operational,No,PUMP ROOM 1,,,,CHWP,amcgee@enovumdc.com,5/3/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor63,Contractor63,10000
CHWP 3,CHWP 3,Test description.,Operational,No,PUMP ROOM 1,,,,CHWP,amcgee@enovumdc.com,5/4/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor64,Contractor64,10000
CHWP 4,CHWP 4,Test description.,Operational,No,PUMP ROOM 1,,,,CHWP,amcgee@enovumdc.com,5/5/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor65,Contractor65,10000
CHWP 5,CHWP 5,Test description.,Operational,No,PUMP ROOM 1,,,,CHWP,amcgee@enovumdc.com,5/6/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor66,Contractor66,10000
CHWP 6,CHWP 6,Test description.,Operational,No,PUMP ROOM 1,,,,CHWP,amcgee@enovumdc.com,5/7/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor67,Contractor67,10000
G-3B,G-3B,Test description.,Operational,No,YARD,,,,GENERATOR,amcgee@enovumdc.com,5/8/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor68,Contractor68,10000
G-3E,G-3E,Test description.,Operational,No,YARD,,,,GENERATOR,amcgee@enovumdc.com,5/9/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor69,Contractor69,10000
G-3F,G-3F,Test description.,Operational,No,YARD,,,,GENERATOR,amcgee@enovumdc.com,5/10/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor70,Contractor70,10000
G-2D,G-2D,Test description.,Operational,No,YARD,,,,GENERATOR,amcgee@enovumdc.com,5/11/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor71,Contractor71,10000
G-2C,G-2C,Test description.,Operational,No,YARD,,,,GENERATOR,amcgee@enovumdc.com,5/12/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor72,Contractor72,10000
G-2B,G-2B,Test description.,Operational,No,YARD,,,,GENERATOR,amcgee@enovumdc.com,5/13/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor73,Contractor73,10000
G-2A,G-2A,Test description.,Operational,No,YARD,,,,GENERATOR,amcgee@enovumdc.com,5/14/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor74,Contractor74,10000
G-1D,G-1D,Test description.,Operational,No,YARD,,,,GENERATOR,amcgee@enovumdc.com,5/15/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor75,Contractor75,10000
G-1C,G-1C,Test description.,Operational,No,YARD,,,,GENERATOR,amcgee@enovumdc.com,5/16/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor76,Contractor76,10000
G-1B,G-1B,Test description.,Operational,No,YARD,,,,GENERATOR,amcgee@enovumdc.com,5/17/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor77,Contractor77,10000
G-1A,G-1A,Test description.,Operational,No,YARD,,,,GENERATOR,amcgee@enovumdc.com,5/18/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor78,Contractor78,10000
CH 1,CH 1,Test description.,Operational,No,YARD,,,,CHILLER,amcgee@enovumdc.com,5/19/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor79,Contractor79,10000
CH 2,CH 2,Test description.,Operational,No,YARD,,,,CHILLER,amcgee@enovumdc.com,5/20/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor80,Contractor80,10000
CH 3,CH 3,Test description.,Operational,No,YARD,,,,CHILLER,amcgee@enovumdc.com,5/21/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor81,Contractor81,10000
CH 4,CH 4,Test description.,Operational,No,YARD,,,,CHILLER,amcgee@enovumdc.com,5/22/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor82,Contractor82,10000
CH 5,CH 5,Test description.,Operational,No,YARD,,,,CHILLER,amcgee@enovumdc.com,5/23/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor83,Contractor83,10000
CH 6,CH 6,Test description.,Operational,No,YARD,,,,CHILLER,amcgee@enovumdc.com,5/24/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor84,Contractor84,10000
CH 7,CH 7,Test description.,Operational,No,YARD,,,,CHILLER,amcgee@enovumdc.com,5/25/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor85,Contractor85,10000
CH 8,CH 8,Test description.,Operational,No,YARD,,,,CHILLER,amcgee@enovumdc.com,5/26/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor86,Contractor86,10000
DC 1,DC 1,Test description.,Operational,No,YARD,,,,DRY COOLER,amcgee@enovumdc.com,5/27/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor87,Contractor87,10000
DC 2,DC 2,Test description.,Operational,No,YARD,,,,DRY COOLER,amcgee@enovumdc.com,5/28/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor88,Contractor88,10000
DC 3,DC 3,Test description.,Operational,No,YARD,,,,DRY COOLER,amcgee@enovumdc.com,5/29/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor89,Contractor89,10000
DC 4,DC 4,Test description.,Operational,No,YARD,,,,DRY COOLER,amcgee@enovumdc.com,5/30/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor90,Contractor90,10000
DC 5,DC 5,Test description.,Operational,No,YARD,,,,DRY COOLER,amcgee@enovumdc.com,5/31/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor91,Contractor91,10000
DC 6,DC 6,Test description.,Operational,No,YARD,,,,DRY COOLER,amcgee@enovumdc.com,6/1/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor92,Contractor92,10000
DC 7,DC 7,Test description.,Operational,No,YARD,,,,DRY COOLER,amcgee@enovumdc.com,6/2/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor93,Contractor93,10000
DC 8,DC 8,Test description.,Operational,No,YARD,,,,DRY COOLER,amcgee@enovumdc.com,6/3/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor94,Contractor94,10000
DC 9,DC 9,Test description.,Operational,No,YARD,,,,DRY COOLER,amcgee@enovumdc.com,6/4/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor95,Contractor95,10000
DC 10,DC 10,Test description.,Operational,No,YARD,,,,DRY COOLER,amcgee@enovumdc.com,6/5/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor96,Contractor96,10000
